tau_cent,delta_x,delta_y
-40.0,0.332549002533143,-0.024848768147226113
-39.999199991999916,0.33255122128607173,-0.02484908257124277
-39.99839998399984,0.33255343998039133,-0.024849396998819634
-39.99759997599976,0.3324776217463632,-0.02484387939905472
-39.99679996799968,0.33255787719316077,-0.024850025864652125
-39.9959999599996,0.3325600957115986,-0.024850340302907586
-39.995199951999524,0.3325623141713945,-0.024850654744722395
-39.99439994399944,0.33256453257253926,-0.02485096919009605
-39.99359993599936,0.33256675091502186,-0.024851283639028332
-39.99279992799928,0.3325689691988367,-0.024851598091519128
-39.9919999199992,0.33257118742397784,-0.02485191254756844
-39.99119991199912,0.3325734055904297,-0.024852227007175348
-39.99039990399904,0.3325756236981938,-0.024852541470340606
-39.98959989599896,0.33257784174725447,-0.024852855937063184
-39.98879988799888,0.3325800597376072,-0.024853170407343417
-39.9879998799988,0.33258227766924553,-0.024853484881180943
-39.98719987199872,0.3325844955421571,-0.024853799358575485
-39.98639986399864,0.3325867133563345,-0.024854113839526737
-39.98559985599856,0.3325889311117718,-0.0248544283240347
-39.98479984799848,0.3325911488084534,-0.024854742812098596
-39.9839998399984,0.3325933664463807,-0.024855057303718925
-39.98319983199832,0.33259558402554346,-0.02485537179889538
-39.98239982399824,0.3325978015459288,-0.0248556862976273
-39.98159981599816,0.3326000190075298,-0.024856000799914596
-39.98079980799808,0.33260223641034536,-0.024856315305757687
-39.979999799998,0.332604453754358,-0.0248566298151556
-39.97919979199792,0.3326066710395632,-0.02485694432810831
-39.97839978399784,0.33260888826595303,-0.02485725884461573
-39.97759977599776,0.33261110543351524,-0.024857573364677282
-39.976799767997676,0.33261332254225207,-0.02485788788829363
-39.9759997599976,0.3326155395921433,-0.024858202415463493
-39.97519975199752,0.3326177565831878,-0.024858516946187348
-39.97439974399744,0.3326199735153752,-0.024858831480464777
-39.97359973599736,0.332622190388697,-0.024859146018295475
-39.972799727997284,0.332624407203145,-0.02485946055967936
-39.9719997199972,0.33262662395871523,-0.024859775104616344
-39.971199711997116,0.33262884065539144,-0.024860089653105766
-39.97039970399704,0.3326310572931681,-0.02486040420514765
-39.96959969599696,0.3326332738720399,-0.024860718760741835
-39.96879968799688,0.33263549039199924,-0.02486103331988826
-39.9679996799968,0.3326377068530373,-0.024861347882586565
-39.967199671996724,0.332639923255138,-0.024861662448836114
-39.96639966399664,0.3326421395983039,-0.024861977018637377
-39.96559965599656,0.3326443558825214,-0.0248622915919898
-39.96479964799648,0.33264657210778403,-0.024862606168893187
-39.9639996399964,0.332609698384162,-0.024859998668673028
-39.96319963199632,0.33265100438140704,-0.024863235333352024
-39.96239962399624,0.3326532204297499,-0.02486354992090689
-39.96159961599616,0.3326554364191092,-0.024863864512012224
-39.96079960799608,0.3326576523494733,-0.02486417910666766
-39.959999599996,0.33265986822082594,-0.02486449370487223
-39.95919959199592,0.3326620840331638,-0.024864808306626185
-39.95839958399584,0.3326642997864855,-0.0248651229119298
-39.95759957599576,0.33266651548077353,-0.024865437520782185
-39.95679956799568,0.33266873111602835,-0.02486575213318379
-39.9559995599956,0.33267094669223196,-0.024866066749133553
-39.95519955199552,0.33267316220938614,-0.024866381368632173
-39.95439954399544,0.3326753776674689,-0.02486669599167826
-39.95359953599536,0.33267759306648226,-0.02486701061827251
-39.95279952799528,0.33267980840642153,-0.02486732524841484
-39.9519995199952,0.33268202368727473,-0.024867639882104803
-39.95119951199512,0.3326842389090239,-0.024867954519341484
-39.950399503995044,0.3326864540716741,-0.024868269160125606
-39.94959949599496,0.3326886691752122,-0.02486858380445664
-39.948799487994876,0.3326908842196281,-0.0248688984523342
-39.9479994799948,0.33265397548593856,-0.024866288138561538
-39.94719947199472,0.3326953141310667,-0.02486952775872861
-39.94639946399464,0.3326975289980705,-0.02486984241724477
-39.94559945599456,0.33269974380592093,-0.02487015707930676
-39.944799447994484,0.3327019585546107,-0.024870471744914413
-39.9439994399944,0.33270417324412715,-0.02487078641406723
-39.943199431994316,0.3327063878744698,-0.02487110108676549
-39.94239942399424,0.3327086024456247,-0.024871415763008553
-39.94159941599416,0.33271081695758165,-0.024871730442796114
-39.94079940799408,0.33271303141033726,-0.02487204512612834
-39.939999399994,0.33271524580388134,-0.024872359813004813
-39.939199391993924,0.33271746013820835,-0.024872674503425563
-39.93839938399384,0.3327196744133052,-0.02487298919738995
-39.93759937599376,0.33272188862916185,-0.024873303894897614
-39.93679936799368,0.33272410278577746,-0.024873618595949
-39.9359993599936,0.3327263168831416,-0.024873933300543632
-39.93519935199352,0.332728530921244,-0.02487424800868121
-39.93439934399344,0.3327307449000758,-0.024874562720361454
-39.93359933599336,0.33273295881963194,-0.02487487743558428
-39.93279932799328,0.3327351726799024,-0.02487519215434955
-39.9319993199932,0.3327373864808758,-0.024875506876656628
-39.93119931199312,0.3327396002225469,-0.024875821602505566
-39.93039930399304,0.33274181390491053,-0.024876136331896448
-39.92959929599296,0.33274402752795584,-0.024876451064828803
-39.92879928799288,0.3327462410916724,-0.024876765801302297
-39.9279992799928,0.33274845459604996,-0.02487708054131646
-39.92719927199272,0.3327506680410883,-0.024877395284871817
-39.92639926399264,0.33275288142677195,-0.024877710031967537
-39.92559925599256,0.33275509475309795,-0.024878024782603786
-39.92479924799248,0.3327573080200539,-0.024878339536780064
-39.9239992399924,0.33275952122763286,-0.02487865429449626
-39.92319923199232,0.3327617343758289,-0.024878969055752376
-39.922399223992244,0.3327639474646271,-0.02487928382054755
-39.92159921599216,0.33276616049402796,-0.024879598588882362
-39.920799207992076,0.33276837346401744,-0.02487991336075615
-39.919999199992,0.3327705863745898,-0.024880228136168747
-39.91919919199192,0.33277279922573255,-0.024880542915119763
-39.91839918399184,0.3327750120174442,-0.02488085769760945
-39.91759917599176,0.3327772247497134,-0.02488117248363736
-39.916799167991684,0.3327794374225266,-0.024881487273202885
-39.9159991599916,0.3327816500358798,-0.024881802066306136
-39.915199151991516,0.33278386258976944,-0.024882116862947168
-39.91439914399144,0.3327860750841809,-0.024882431663125454
-39.91359913599136,0.33278828751911016,-0.024882746466840938
-39.91279912799128,0.33279049989454546,-0.024883061274093204
