tau,mag
-40.0,1.060529268737528
-39.99983999968,1.0605299738452012
-39.99967999936,1.0605306786824236
-39.99951999904,1.0605313835924595
-39.999359998719996,1.0605320884088778
-39.999199998399995,1.0605327934437374
-39.99903999807999,1.0605334983121655
-39.99887999775999,1.0605342034718486
-39.99871999743999,1.0605349083298747
-39.99855999712,1.0605356133647343
-39.998399996799996,1.0605363184203978
-39.998239996479995,1.0605370231536004
-39.998079996159994,1.060537728167656
-39.99791999583999,1.0605384334001529
-39.99775999551999,1.0605391383517968
-39.99759999519999,1.0605398434282642
-39.99743999487999,1.0605405483383001
-39.99727999455999,1.0605412534875813
-39.99711999423999,1.060541958480833
-39.99695999391999,1.0605426634740847
-39.996799993599986,1.0605433688210033
-39.996639993279985,1.0605440739078726
-39.99647999295999,1.0605447790987617
-39.99631999263998,1.06054548396719
-39.99615999231998,1.0605461890956671
-39.99599999199998,1.0605468941513305
-39.995839991679986,1.0605475994254354
-39.995679991359985,1.060548304491501
-39.995519991039984,1.06054900968239
-39.99535999071998,1.0605497150189065
-39.99519999039998,1.060550420084972
-39.99503999007998,1.0605511254006845
-39.99487998975998,1.060551830477152
-39.99471998943998,1.0605525358656784
-39.99455998911998,1.0605532409837537
-39.99439998879998,1.0605539460290152
-39.994239988479976,1.0605546514591495
-39.994079988159974,1.0605553567540582
-39.99391998783997,1.0605560618201237
-39.99375998751998,1.0605567661476496
-39.99359998719997,1.0605574725555686
-39.99343998687997,1.060558177923291
-39.993279986559976,1.06055888316619
-39.993119986239975,1.0605595886275303
-39.992959985919974,1.0605602937872134
-39.99279998559997,1.0605609989572986
-39.99263998527997,1.0605617045122564
-39.99247998495997,1.0605624097967632
-39.99231998463997,1.06056311502926
-39.99215998431997,1.0605638203241687
-39.99199998399997,1.0605645260559602
-39.99183998367997,1.0605652310700158
-39.991679983359965,1.060565936833013
-39.991519983039964,1.060566642075912
-39.99135998271996,1.0605673470899675
-39.99119998239996,1.0605680519479936
-39.99103998207997,1.0605687584183245
-39.99087998175996,1.060569463796449
-39.99071998143996,1.060570169320201
-39.990559981119965,1.060570874802345
-39.990399980799964,1.0605715801492637
-39.99023998047996,1.060572285849849
-39.99007998015996,1.060572991352797
-39.98991997983996,1.0605736966685098
-39.98975997951996,1.0605744021818597
-39.98959997919996,1.0605751078720431
